# Classified differences between EspBle's public API and this library's.
# Regenerate the row set with tools/gen_api_parity.py, then fill in every
# reason and note by hand. tests/unit/api_parity fails on any row with
# reason TODO, any unlisted difference, and any listed row that no longer
# differs.
#
# side	symbol	reason	note
# side   espble_only    | bluedroid_only
# side   espble_value_only | bluedroid_value_only | value_mismatch
#        (a *Name() mapping, as function/EnumConstant)
# reason backend (a Bluedroid or radio constraint)
#        classic (a Bluetooth Classic extension EspBle does not have)
#        planned (not implemented yet; the note says where it is tracked)
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_MUTE	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_NEXT_TRACK	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_PLAY_PAUSE	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_PREVIOUS_TRACK	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_VOLUME_DOWN	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_CONSUMER_CONTROL_VOLUME_UP	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_SYSTEM_CONTROL_POWER_OFF	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_SYSTEM_CONTROL_STANDBY	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	ESP_BLE_HID_SYSTEM_CONTROL_WAKE_HOST	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	EspBle::Phy1MMask	backend	Bluetooth 4.2 LE radio: no LE 2M or Coded PHY to select or report
espble_only	EspBle::Phy2MMask	backend	Bluetooth 4.2 LE radio: no LE 2M or Coded PHY to select or report
espble_only	EspBle::PhyCodedMask	backend	Bluetooth 4.2 LE radio: no LE 2M or Coded PHY to select or report
espble_only	EspBle::addPhyUpdatedListener/1	backend	Bluetooth 4.2 LE radio: no LE 2M or Coded PHY to select or report
espble_only	EspBle::autoReconnect/0	planned	library-level feature, not a backend limit; examples/Gatt/Basics/AutoReconnectClient shows the manual pattern
espble_only	EspBle::disconnect/2	backend	Bluedroid closes a link through esp_ble_gattc_close(), which sends no application-chosen HCI reason code; disconnect(id) is the whole API here
espble_only	EspBle::droppedPersistentSubscriptionCount/0	planned	library-level feature, not a backend limit; examples/Gatt/Basics/AutoReconnectClient shows the manual pattern
espble_only	EspBle::hidCustom/0	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	EspBle::hidHost/0	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	EspBle::hidVendor/0	planned	HID over GATT / BLE MIDI; docs/PROFILE_BRIDGE_ROADMAP.ja.md Phase 1
espble_only	EspBle::notifyServicesChanged/2	backend	Bluedroid owns Service Changed: Arduino-ESP32 builds it with CONFIG_BT_GATTS_SEND_SERVICE_CHANGE_AUTO=y and publishes Generic Attribute 0x1801 itself, so the application has nothing to announce (tests/peer/service_changed)
